url,score,closest_domain,min_edit_distance,is_typosquat,has_punycode,has_mixed_script,tld_type
https://q.funyfpt.org/flampifypdf/flhanper/,0.0,ant.ac.th,5,0,0,0,other
https://roblox.com.kz/users/1062657295/profile,0.0,coj.go.th,1,0,0,0,other
https://emamazumder.github.io/Amazon-Clone-Website,0.0033,ait.ac.th,4,0,0,0,other
https://s.teams-ml.com/p/fjbd-cbch/hqkgxffv/,0.0033,treasury.go.th,5,0,0,0,other
https://rss.readles.at/go/y274w2/y274x274?label=0406,0.0033,raffles.ac.th,3,1,0,0,other
https://www.o-shop.com/pl/menu/oakley-prizm-tm-4141.html/,0.0033,dop.go.th,4,0,0,0,other
http://gweissrs.github.io/Netflix_telalogin,0.008,ait.ac.th,4,0,0,0,other
http://aizhara.apsny.land/assfv43/log.php,0.008,ais.co.th,3,0,0,0,other
https://storage.yandexcloud.net/seren/jo/bi2/shr.html,0.008,admincourt.go.th,8,0,0,0,other
https://hilfezentrum-benutzer-info.serveousercontent.com/DE/process/user.html,0.0198,supremecourt.or.th,11,0,0,0,other
https://click.abitursprueche.de/ga/click/2-17328413-22-9261-18098-9967-509ff80723-af6f49103c,0.0198,inter-tech.ac.th,9,0,0,0,other
http://alwajalwa.github.io/video-player,0.0198,ait.ac.th,4,0,0,0,other
https://center-reassurance-adminpage.pages.dev/help/contact/639637205723888,0.0198,acfs.go.th,3,0,0,0,other
https://customer-sp-alexk.pages.dev/help/contact/282824571426767/,0.0198,acfs.go.th,3,0,0,0,other
https://did.li/aHAmC,0.0366,dbd.go.th,1,0,0,0,other
http://zulpiyev.github.io/js29,0.0366,ait.ac.th,4,0,0,0,other
https://linkedin.comunicazioni-sicure.it/actionrequired?rid=RwQSixi,0.0366,constitutionalcourt.or.th,12,0,0,0,other
https://store.communityappitem.shop/workshop/AK47-EternalDecay/,0.0556,chaiyaphum.go.th,10,0,0,0,other
https://code-with-farhan-cs.github.io/netflix-clone,0.0556,ait.ac.th,4,0,0,0,other
https://gnlgroup.net/santander/index.html,0.0678,uobgroup.com,3,1,0,0,other
http://meta-porthub.pages.dev/appeals/submit-appeal-form/return,0.0817,acfs.go.th,3,0,0,0,other
http://veaxz.fwh.is/,0.1487,dmh.go.th,2,0,0,0,other
https://yahwebonlinetime.weebly.com/,0.1545,bbl.co.th,4,0,0,0,other
https://acc.partner-credit-submission.com/__;!!bt8rzum9aw!5t7lf5li5nfedhsbbwoxmqglod6rtyiw990oxsxmvhunjfwsu0puc68sspi7_9ct2vdnylpffqacoxaj$/,0.2012,arsomsilp.ac.th,19,0,0,0,other
https://121jio.senes.at/stakings/?b=YTo0OntzOjU6ImxhYmVsIjtzOjQ6IjA0MDYiO3M6MzoidXNyIjtpOjExMjtzOjQ6Im5vcGQiO3M6MTQ6InJzcy5yZWFkbGVzLmF0IjtzOjE6Im8iO2k6MTEzNjt9,0.2248,dede.go.th,3,0,0,0,other
https://zazxwzoz.usw-1.sealos.app/vc/xv/login.php,0.2592,sepo.go.th,3,0,0,0,other
http://dpd.hvtmxqr.xin/com,0.2607,dmcr.go.th,5,0,0,0,other
